#{"t_start": 1561044984.770769, "env_id": "threes-v0"}
r,l,t
231.0,47,1.105109
81.0,23,1.123056
432.0,68,1.17343
162.0,39,1.201938
129.0,30,1.223577
291.0,44,1.255882
180.0,38,1.283678
261.0,55,1.329025
318.0,51,1.374504
186.0,34,1.404142
147.0,37,1.433625
678.0,81,1.520945
432.0,63,1.568944
333.0,47,1.606257
99.0,27,1.626871
141.0,29,1.648382
162.0,43,1.680005
486.0,84,1.739066
87.0,27,1.759696
369.0,65,1.805762
213.0,42,1.835468
156.0,34,1.867352
300.0,50,1.905019
57.0,19,1.919926
129.0,31,1.943232
144.0,37,1.969731
444.0,81,2.028712
240.0,46,2.061731
396.0,62,2.109124
252.0,50,2.153868
231.0,46,2.189063
234.0,46,2.223241
561.0,76,2.283291
78.0,29,2.305035
804.0,73,2.360012
186.0,40,2.393995
921.0,95,2.466114
33.0,16,2.478354
132.0,38,2.508387
324.0,46,2.54473
195.0,45,2.577187
183.0,40,2.605598
228.0,51,2.649219
444.0,79,2.707137
348.0,52,2.74649
351.0,56,2.787624
150.0,31,2.809234
321.0,56,2.848334
168.0,40,2.877592
66.0,24,2.895438
150.0,34,2.920402
51.0,17,2.93261
216.0,39,2.96091
171.0,41,2.989392
78.0,22,3.011467
393.0,64,3.057811
177.0,36,3.08573
258.0,68,3.133062
543.0,83,3.191008
147.0,39,3.218753
261.0,57,3.259177
804.0,65,3.306189
870.0,91,3.379017
33.0,16,3.390663
36.0,14,3.400825
249.0,53,3.438104
408.0,81,3.492395
396.0,58,3.537321
198.0,39,3.565932
666.0,81,3.625778
228.0,57,3.665006
189.0,42,3.693898
135.0,32,3.717087
252.0,53,3.762041
147.0,30,3.784974
195.0,40,3.814695
156.0,36,3.842772
297.0,40,3.873217
402.0,61,3.916224
318.0,47,3.950138
309.0,49,3.985285
417.0,64,4.031978
147.0,33,4.054882
213.0,41,4.084903
336.0,49,4.126523
210.0,38,4.155916
153.0,34,4.181606
156.0,38,4.208876
93.0,25,4.22774
84.0,26,4.247859
126.0,29,4.26868
393.0,65,4.317184
150.0,40,4.346383
318.0,46,4.381443
84.0,24,4.398315
120.0,26,4.418078
888.0,93,4.487797
417.0,71,4.541064
162.0,34,4.567079
408.0,67,4.617078
558.0,73,4.66959
126.0,26,4.689442
57.0,18,4.70322
174.0,41,4.732715
405.0,61,4.777072
450.0,65,4.823171
378.0,57,4.870666
216.0,47,4.904533
318.0,48,4.94081
108.0,31,4.963445
48.0,17,4.975596
768.0,95,5.043286
279.0,45,5.075675
159.0,32,5.100052
162.0,40,5.128737
99.0,40,5.1568
102.0,29,5.177545
147.0,35,5.203814
387.0,58,5.258718
186.0,45,5.303232
336.0,49,5.348582
102.0,29,5.371037
165.0,43,5.401184
69.0,21,5.418093
429.0,69,5.471036
933.0,91,5.542599
63.0,19,5.555704
351.0,49,5.590978
306.0,43,5.630403
387.0,65,5.679781
396.0,68,5.726611
333.0,58,5.767208
381.0,51,5.803244
174.0,35,5.829376
225.0,47,5.867041
132.0,29,5.887932
168.0,39,5.917495
891.0,86,5.981747
243.0,46,6.021941
1128.0,94,6.090896
807.0,76,6.147803
366.0,55,6.186951
162.0,58,6.225786
189.0,44,6.25858
213.0,45,6.290687
315.0,52,6.326998
108.0,32,6.350175
90.0,25,6.375448
81.0,23,6.392696
432.0,79,6.447319
369.0,52,6.484241
426.0,74,6.536666
375.0,51,6.576467
159.0,46,6.609459
408.0,59,6.652588
159.0,36,6.678194
573.0,99,6.755155
240.0,54,6.793111
81.0,24,6.810269
183.0,41,6.838657
93.0,29,6.859059
111.0,24,6.876538
72.0,23,6.893584
144.0,32,6.915708
240.0,48,6.950977
165.0,36,6.977324
405.0,55,7.017469
378.0,64,7.062659
165.0,37,7.088212
237.0,51,7.13022
321.0,51,7.167361
87.0,26,7.188035
441.0,62,7.234022
132.0,35,7.259848
378.0,62,7.305482
372.0,55,7.345078
231.0,45,7.381757
303.0,48,7.418688
585.0,99,7.495457
354.0,67,7.543072
69.0,22,7.559409
405.0,63,7.602374
93.0,27,7.621905
72.0,23,7.637292
363.0,65,7.682193
222.0,46,7.715023
156.0,38,7.742783
486.0,71,7.794149
108.0,28,7.813907
372.0,51,7.856683
294.0,42,7.887876
63.0,19,7.902705
285.0,42,7.93493
36.0,15,7.946385
420.0,67,7.996026
54.0,20,8.010743
546.0,74,8.06633
381.0,68,8.113334
387.0,58,8.154891
336.0,57,8.193367
132.0,30,8.220678
189.0,49,8.257063
318.0,54,8.297219
282.0,57,8.338214
135.0,38,8.365652
372.0,52,8.402142
924.0,92,8.469749
240.0,46,8.503765
186.0,49,8.540782
351.0,59,8.588223
186.0,43,8.619329
90.0,32,8.64372
291.0,61,8.69463
207.0,50,8.742428
147.0,45,8.781683
387.0,67,8.83052
396.0,62,8.876027
810.0,72,8.926734
348.0,46,8.959362
393.0,70,9.015396
234.0,52,9.054316
144.0,34,9.078547
375.0,53,9.118415
915.0,90,9.184748
408.0,64,9.231353
396.0,58,9.272924
144.0,32,9.296928
327.0,67,9.352228
609.0,80,9.415575
351.0,49,9.45262
231.0,45,9.485906
393.0,58,9.530601
141.0,50,9.565123
255.0,52,9.601412
480.0,78,9.656323
156.0,43,9.684608
735.0,106,9.768289
978.0,106,9.842817
603.0,78,9.897562
975.0,91,9.964686
408.0,70,10.015593
105.0,32,10.039172
495.0,73,10.09925
423.0,70,10.149653
87.0,25,10.168175
237.0,54,10.20665
318.0,43,10.238579
960.0,102,10.314474
336.0,60,10.358131
1041.0,103,10.429741
267.0,53,10.474794
417.0,65,10.52537
627.0,79,10.581804
567.0,84,10.642374
72.0,22,10.658327
858.0,100,10.728989
243.0,68,10.776024
951.0,126,10.872352
351.0,57,10.912857
105.0,30,10.934061
165.0,42,10.964836
180.0,46,10.997274
426.0,77,11.052743
27.0,11,11.062065
69.0,24,11.080987
195.0,47,11.115818
111.0,33,11.140168
246.0,60,11.18908
66.0,20,11.203937
918.0,96,11.273457
78.0,25,11.292237
324.0,43,11.324491
630.0,73,11.381578
57.0,19,11.396835
66.0,19,11.412375
237.0,49,11.448203
399.0,69,11.497987
141.0,37,11.52698
240.0,47,11.568015
114.0,30,11.59131
393.0,60,11.637424
162.0,42,11.666833
249.0,67,11.713245
144.0,31,11.735245
141.0,30,11.757287
147.0,36,11.783504
198.0,48,11.817735
315.0,64,11.864507
183.0,39,11.891517
210.0,51,11.935618
81.0,22,11.953711
150.0,37,11.984041
207.0,49,12.024442
438.0,70,12.083974
24.0,11,12.097269
180.0,37,12.134442
135.0,29,12.161643
138.0,32,12.190833
189.0,48,12.236748
180.0,43,12.275947
99.0,27,12.30135
567.0,74,12.362655
219.0,43,12.408728
141.0,32,12.436229
162.0,34,12.464045
279.0,64,12.511214
99.0,34,12.535804
168.0,40,12.563562
66.0,22,12.57873
165.0,51,12.613758
819.0,78,12.67097
408.0,58,12.71305
138.0,31,12.73446
564.0,94,12.807388
111.0,28,12.82777
51.0,21,12.842484
444.0,60,12.886163
570.0,65,12.931766
402.0,58,12.975127
135.0,31,12.997874
138.0,31,13.020387
1065.0,109,13.09648
117.0,29,13.116709
186.0,38,13.151003
330.0,47,13.186689
1032.0,84,13.248017
120.0,33,13.271316
408.0,71,13.322625
189.0,36,13.349657
444.0,75,13.419113
348.0,50,13.468137
123.0,34,13.502775
885.0,95,13.581953
405.0,73,13.636268
942.0,108,13.710352
480.0,83,13.768002
108.0,28,13.789297
171.0,38,13.81748
384.0,58,13.857954
252.0,50,13.892789
222.0,46,13.931998
141.0,31,13.956389
486.0,69,14.00682
276.0,40,14.036255
69.0,22,14.053592
474.0,66,14.100249
717.0,92,14.167582
153.0,33,14.193167
60.0,20,14.207917
354.0,52,14.244262
105.0,23,14.262138
420.0,76,14.322311
81.0,23,14.34023
378.0,51,14.377115
852.0,88,14.437596
165.0,35,14.462589
117.0,35,14.487654
513.0,80,14.547796
72.0,21,14.562701
309.0,47,14.594954
234.0,53,14.635212
138.0,37,14.662735
954.0,94,14.734429
648.0,91,14.80172
165.0,37,14.829943
375.0,56,14.871063
1110.0,132,14.963157
375.0,52,15.006281
225.0,47,15.041541
201.0,43,15.075225
240.0,45,15.109747
201.0,45,15.143699
90.0,25,15.162988
138.0,39,15.191305
156.0,41,15.223347
408.0,64,15.271611
381.0,56,15.316172
141.0,31,15.339406
249.0,52,15.378587
147.0,36,15.410099
192.0,42,15.442834
942.0,93,15.515329
27.0,12,15.526296
138.0,34,15.553401
42.0,16,15.56586
255.0,57,15.609394
150.0,35,15.636611
315.0,48,15.67249
579.0,65,15.722643
165.0,39,15.753443
114.0,44,15.79076
132.0,33,15.81704
168.0,41,15.848283
15.0,11,15.856748
195.0,51,15.896247
351.0,52,15.93597
543.0,74,15.993761
417.0,62,16.043464
342.0,57,16.090013
516.0,92,16.159553
153.0,32,16.189274
216.0,41,16.222208
810.0,91,16.288231
285.0,39,16.317873
159.0,49,16.35196
258.0,51,16.392159
414.0,69,16.441947
156.0,38,16.471011
78.0,26,16.490741
399.0,65,16.54143
192.0,44,16.58098
171.0,51,16.619594
282.0,52,16.659007
324.0,55,16.700767
366.0,61,16.745376
240.0,46,16.781133
87.0,26,16.801806
210.0,40,16.833933
804.0,82,16.896063
357.0,48,16.930753
432.0,66,16.986489
132.0,32,17.011771
366.0,57,17.054451
135.0,36,17.081256
489.0,79,17.140964
81.0,26,17.161268
201.0,45,17.196761
99.0,27,17.220201
399.0,68,17.273174
324.0,55,17.314893
165.0,41,17.353048
417.0,66,17.407567
438.0,66,17.458574
429.0,73,17.515452
393.0,54,17.556823
372.0,69,17.607689
153.0,41,17.638938
300.0,47,17.675064
372.0,55,17.71718
561.0,84,17.785091
198.0,36,17.812746
162.0,33,17.837511
603.0,76,17.896875
372.0,47,17.933515
159.0,42,17.965117
75.0,25,17.98517
222.0,47,18.022557
39.0,15,18.034571
126.0,29,18.056662
297.0,45,18.090642
417.0,63,18.142263
354.0,58,18.18723
354.0,62,18.232477
90.0,26,18.252152
342.0,50,18.290665
555.0,86,18.355509
360.0,98,18.424179
78.0,22,18.442437
414.0,64,18.490647
171.0,40,18.52723
423.0,69,18.57902
